,precision,recall,f1-score,support
0.0,0.997979797979798,0.8125,0.8957388939256573,608.0
1.0,0.841886269070735,0.9983552631578947,0.9134687735139201,608.0
accuracy,0.9054276315789473,0.9054276315789473,0.9054276315789473,0.9054276315789473
macro avg,0.9199330335252665,0.9054276315789473,0.9046038337197887,1216.0
weighted avg,0.9199330335252663,0.9054276315789473,0.9046038337197888,1216.0
