Normal_prob,Malware_prob
0.46296787,0.5370321
0.29351026,0.70648974
0.4541111,0.5458889
0.31579107,0.6842089
0.46312416,0.53687584
0.28159106,0.71840894
0.28631186,0.71368814
0.294707,0.705293
0.45855945,0.54144055
0.46296877,0.53703123
0.29495633,0.7050437
0.45882338,0.5411766
0.2952556,0.7047444
0.46153992,0.5384601
0.29604155,0.70395845
0.2953902,0.7046098
0.45550287,0.54449713
0.3062333,0.6937667
0.29514593,0.7048541
0.4573639,0.5426361
0.46211535,0.53788465
0.4603911,0.5396089
0.28634185,0.71365815
0.29542232,0.7045777
0.29463953,0.7053605
0.29465914,0.70534086
0.28145862,0.7185414
0.4629175,0.5370825
0.462232,0.537768
0.46313697,0.536863
0.29511833,0.70488167
0.28155762,0.7184424
0.4608134,0.5391866
0.4631223,0.5368777
0.45479357,0.5452064
0.29828793,0.7017121
0.28145987,0.71854013
0.44697958,0.5530204
0.29469788,0.7053021
0.29344207,0.7065579
0.28145003,0.71854997
0.46242714,0.53757286
0.4585362,0.5414638
0.2815101,0.7184899
0.28148323,0.71851677
0.29654193,0.7034581
0.45345813,0.54654187
0.4598372,0.5401628
0.46122354,0.53877646
0.29614305,0.70385695
0.34305978,0.6569402
0.46290666,0.53709334
0.2949229,0.7050771
0.46312165,0.53687835
0.4583444,0.5416556
0.46181417,0.53818583
0.28148484,0.71851516
0.46249694,0.53750306
0.281551,0.718449
0.2937438,0.7062562
0.29345655,0.70654345
0.29456562,0.7054344
0.4381302,0.5618698
0.4538409,0.5461591
0.46188205,0.53811795
0.28160346,0.71839654
0.4629122,0.5370878
0.2814405,0.7185595
0.29513758,0.7048624
0.29348898,0.706511
0.2946536,0.7053464
0.29480094,0.70519906
0.2935272,0.7064728
0.45916438,0.5408356
0.44884926,0.55115074
0.35859293,0.6414071
0.29640013,0.7035999
0.29343575,0.70656425
0.46171147,0.53828853
0.29579622,0.7042038
0.2935127,0.7064873
0.29490554,0.70509446
0.28141963,0.71858037
0.46154892,0.5384511
0.29343998,0.70656
0.46217746,0.53782254
0.29517192,0.7048281
0.4004416,0.5995584
0.28156036,0.71843964
0.46130604,0.53869396
0.4602973,0.5397027
0.29498643,0.7050136
0.29527718,0.7047228
0.29557258,0.7044274
0.29340017,0.70659983
0.29481256,0.70518744
0.29658008,0.7034199
0.4592542,0.5407458
0.45348805,0.54651195
0.2815954,0.7184046
0.45608318,0.5439168
0.29478073,0.70521927
0.46023673,0.5397633
0.28144133,0.71855867
0.29491508,0.7050849
0.4619727,0.5380273
0.295133,0.704867
0.4560784,0.5439216
0.4571603,0.5428397
0.29355347,0.7064465
0.42180896,0.57819104
0.46253103,0.53746897
0.29490745,0.70509255
0.2950245,0.7049755
0.29484934,0.70515066
0.28159148,0.7184085
0.461024,0.538976
0.42159373,0.5784063
0.46223068,0.5377693
0.46157444,0.53842556
0.2946127,0.7053873
0.2937929,0.7062071
0.45892596,0.54107404
0.29963487,0.7003651
0.46271038,0.5372896
0.28157413,0.71842587
0.2950158,0.7049842
0.41175598,0.588244
0.45415664,0.54584336
0.29364133,0.7063587
0.42734367,0.57265633
0.45935786,0.54064214
0.29543185,0.70456815
0.29578382,0.7042162
0.2814836,0.7185164
0.2948739,0.7051261
0.4622063,0.5377937
0.45537227,0.5446277
0.29350466,0.70649534
0.28146702,0.718533
0.29372746,0.70627254
0.2814973,0.7185027
0.29376066,0.70623934
0.34987843,0.65012157
0.28152215,0.71847785
0.33839464,0.66160536
0.44808173,0.55191827
0.46193165,0.53806835
0.29454452,0.7054555
0.29469615,0.70530385
0.4621575,0.5378425
0.45956165,0.54043835
0.29477096,0.70522904
0.2949782,0.7050218
0.2936772,0.7063228
0.31936264,0.68063736
0.46075827,0.53924173
0.46156627,0.53843373
0.2966659,0.7033341
0.46311474,0.53688526
0.28160542,0.7183946
0.29490966,0.70509034
0.29357314,0.70642686
0.29473686,0.70526314
0.29699868,0.7030013
0.37209803,0.627902
0.2945541,0.7054459
0.29346162,0.7065384
0.46293432,0.5370657
0.4601186,0.5398814
0.39615375,0.60384625
0.45888776,0.54111224
0.45919895,0.54080105
0.29474413,0.70525587
0.29342943,0.70657057
0.2814824,0.7185176
0.2815047,0.7184953
0.44522285,0.55477715
0.29561442,0.7043856
0.46259606,0.53740394
0.2814958,0.7185042
0.2948295,0.7051705
0.2814783,0.7185217
0.2949041,0.7050959
0.46312284,0.53687716
0.4587592,0.5412408
0.4582135,0.5417865
0.2949201,0.7050799
0.29466236,0.70533764
0.2951131,0.7048869
0.4629202,0.5370798
0.29492515,0.70507485
0.29583877,0.7041612
0.2945472,0.7054528
0.29546225,0.70453775
