,precision,recall,f1-score,support
0.0,0.9979633401221996,0.805921052631579,0.89171974522293,608.0
1.0,0.8372413793103448,0.9983552631578947,0.91072768192048,608.0
accuracy,0.9021381578947368,0.9021381578947368,0.9021381578947368,0.9021381578947368
macro avg,0.9176023597162721,0.9021381578947368,0.9012237135717049,1216.0
weighted avg,0.9176023597162721,0.9021381578947368,0.901223713571705,1216.0
