Normal_prob,Malware_prob
0.46656466,0.53343534
0.46663845,0.53336155
0.46712744,0.53287256
0.28554475,0.71445525
0.46682632,0.5331737
0.4412036,0.5587964
0.2855587,0.7144413
0.28624088,0.7137591
0.46664262,0.5333574
0.28568,0.71432
0.28593254,0.71406746
0.2854994,0.7145006
0.2855485,0.7144515
0.28613532,0.7138647
0.28555185,0.71444815
0.4659381,0.5340619
0.2860735,0.7139265
0.46660745,0.53339255
0.46665025,0.53334975
0.46555644,0.53444356
0.28557348,0.7144265
0.2858283,0.7141717
0.45978844,0.54021156
0.2854656,0.7145344
0.4649588,0.5350412
0.46665263,0.53334737
0.46663952,0.5333605
0.28609383,0.71390617
0.46663135,0.53336865
0.45969105,0.54030895
0.44059014,0.55940986
0.28581,0.71419
0.4570465,0.5429535
0.45909578,0.5409042
0.4666348,0.5333652
0.28560758,0.7143924
0.46651793,0.5334821
0.46612257,0.53387743
0.2856059,0.7143941
0.43754017,0.5624598
0.29977316,0.70022684
0.28548867,0.71451133
0.2855963,0.7144037
0.28597027,0.7140297
0.28789735,0.71210265
0.28716224,0.71283776
0.28630823,0.7136918
0.313017,0.686983
0.44551468,0.5544853
0.28787738,0.7121226
0.46661258,0.5333874
0.46654958,0.5334504
0.28546566,0.71453434
0.28585756,0.71414244
0.28550202,0.714498
0.46734703,0.532653
0.28821963,0.71178037
0.2857064,0.7142936
0.28554976,0.71445024
0.28557003,0.71443
0.28555477,0.71444523
0.46658105,0.53341895
0.44014114,0.55985886
0.28559643,0.71440357
0.37087876,0.62912124
0.43288714,0.56711286
0.28560394,0.71439606
0.28549665,0.71450335
0.285537,0.714463
0.2854653,0.7145347
0.2858649,0.7141351
0.28705448,0.7129455
0.28579253,0.7142075
0.28554618,0.7144538
0.45881397,0.54118603
0.28559667,0.71440333
0.28554535,0.71445465
0.28754807,0.71245193
0.28557128,0.7144287
0.28566223,0.71433777
0.2854724,0.7145276
0.28555608,0.7144439
0.44906867,0.55093133
0.28771847,0.7122815
0.46712762,0.5328724
0.28584522,0.7141548
0.28624493,0.7137551
0.4673267,0.5326733
0.45486832,0.5451317
0.35586894,0.64413106
0.46662104,0.53337896
0.46274805,0.53725195
0.28554267,0.71445733
0.28547537,0.7145246
0.45938528,0.5406147
0.46495676,0.53504324
0.45011848,0.5498815
0.4664713,0.5335287
0.28584993,0.7141501
0.28644782,0.7135522
0.3710472,0.6289528
0.2855549,0.7144451
0.28586864,0.71413136
0.4666341,0.5333659
0.28789818,0.7121018
0.28707963,0.71292037
0.46706492,0.5329351
0.46662736,0.53337264
0.28588355,0.71411645
0.28593284,0.71406716
0.28548872,0.7145113
0.45204306,0.54795694
0.28548378,0.7145162
0.45825213,0.54174787
0.2854454,0.7145546
0.46664894,0.53335106
0.28558463,0.7144154
0.46661294,0.53338706
0.28626943,0.7137306
0.28591353,0.7140865
0.28564715,0.71435285
0.28555614,0.71444386
0.46563774,0.53436226
0.45909292,0.5409071
0.29147977,0.70852023
0.2860033,0.7139967
0.39379597,0.60620403
0.4670632,0.5329368
0.285492,0.714508
0.44351685,0.55648315
0.2855445,0.7144555
0.4654765,0.5345235
0.2855947,0.7144053
0.28561497,0.71438503
0.4637301,0.5362699
0.2861873,0.7138127
0.28555715,0.71444285
0.2856124,0.7143876
0.286981,0.713019
0.285478,0.714522
0.28560507,0.7143949
0.28543663,0.71456337
0.2858534,0.7141466
0.28591174,0.71408826
0.30576003,0.69424
0.3520441,0.6479559
0.34832054,0.65167946
0.2854638,0.7145362
0.2855994,0.7144006
0.2854371,0.7145629
0.44602287,0.55397713
0.4306898,0.5693102
0.46659988,0.5334001
0.42548406,0.57451594
0.45141137,0.54858863
0.46067208,0.5393279
0.45958596,0.54041404
0.2854734,0.7145266
0.46658713,0.5334129
0.4623503,0.5376497
0.2868774,0.7131226
0.46649134,0.53350866
0.46585435,0.53414565
0.28709942,0.7129006
0.28570157,0.7142984
0.43975216,0.56024784
0.28792185,0.71207815
0.28604114,0.71395886
0.2859208,0.7140792
0.34749162,0.6525084
0.4653319,0.5346681
0.4671275,0.5328725
0.467129,0.532871
0.4666646,0.5333354
0.4671442,0.5328558
0.2858497,0.7141503
0.28794283,0.7120572
0.38734972,0.6126503
0.29064578,0.7093542
0.28590995,0.71409005
0.28823513,0.7117649
0.285524,0.714476
0.46712935,0.53287065
0.28540903,0.71459097
0.2862658,0.7137342
0.28541464,0.71458536
0.2856294,0.7143706
0.28558695,0.71441305
0.2854274,0.7145726
0.28555477,0.71444523
0.45936668,0.5406333
0.2855156,0.7144844
0.43911612,0.5608839
0.41268712,0.5873129
0.45957816,0.54042184
0.46559793,0.5344021
0.38793617,0.6120638
0.2854879,0.7145121
0.46663994,0.53336006
0.4610116,0.5389884
0.2855392,0.7144608
0.285913,0.714087
0.46481943,0.53518057
0.28583908,0.7141609
0.28737843,0.71262157
0.45395452,0.5460455
0.46660304,0.53339696
0.28618187,0.71381813
0.2856962,0.7143038
0.28561968,0.7143803
0.28554875,0.71445125
0.28552413,0.71447587
0.2870013,0.7129987
0.2859279,0.7140721
0.28555995,0.71444005
0.3672505,0.6327495
0.46132094,0.53867906
0.4633323,0.5366677
0.39096963,0.60903037
0.28548014,0.71451986
0.46634775,0.53365225
0.4216553,0.5783447
0.30515295,0.69484705
0.28590697,0.714093
0.28555423,0.71444577
0.28561884,0.71438116
0.4575944,0.5424056
0.46370542,0.5362946
0.46660465,0.53339535
0.2854663,0.7145337
0.28541732,0.7145827
0.2855749,0.7144251
0.2858551,0.7141449
0.28546888,0.7145311
0.33500564,0.66499436
0.28547007,0.71452993
0.4646923,0.5353077
0.2879778,0.7120222
0.4665901,0.5334099
0.2858565,0.7141435
0.34020948,0.6597905
0.46659064,0.53340936
0.46686023,0.53313977
0.46730715,0.53269285
0.46712852,0.5328715
0.2854964,0.7145036
0.46712726,0.53287274
0.28555423,0.71444577
0.2870108,0.7129892
0.28571665,0.71428335
0.2855928,0.7144072
0.28562248,0.7143775
0.2855469,0.7144531
0.2858891,0.7141109
0.28633976,0.71366024
0.32266438,0.6773356
0.28606874,0.71393126
0.30235213,0.69764787
0.28562832,0.7143717
0.28559524,0.71440476
0.2951764,0.7048236
0.28710014,0.71289986
0.28547722,0.7145228
0.32036674,0.67963326
0.28539658,0.7146034
0.28562772,0.7143723
0.46712905,0.53287095
0.4671268,0.5328732
0.46659428,0.5334057
0.4553966,0.5446034
0.4663493,0.5336507
0.4476546,0.5523454
0.46706712,0.5329329
0.28562105,0.71437895
0.46649575,0.53350425
