Normal_prob,Malware_prob
0.37582505,0.62417495
0.37503523,0.6249648
0.37501073,0.6249893
0.37637234,0.62362766
0.37499678,0.6250032
0.37494528,0.6250547
0.3749177,0.6250823
0.3756444,0.6243556
0.3760665,0.6239335
0.37587,0.62413
0.37524605,0.62475395
0.373919,0.626081
0.37554842,0.6244516
0.37579978,0.6242002
0.37498724,0.62501276
0.37556022,0.6244398
0.37502372,0.6249763
0.37558538,0.6244146
0.37504166,0.62495834
0.3758158,0.6241842
0.37498719,0.6250128
0.37541395,0.62458605
0.3752417,0.6247583
0.37505484,0.62494516
0.37502396,0.62497604
0.3760249,0.6239751
0.37491536,0.62508464
0.37486827,0.6251317
0.3754384,0.6245616
0.37393785,0.62606215
0.3756488,0.6243512
0.37504488,0.6249551
0.37598562,0.6240144
0.37488782,0.6251122
0.37395984,0.62604016
0.37544996,0.62455004
0.37501043,0.62498957
0.37502855,0.62497145
0.37603432,0.6239657
0.37591273,0.6240873
0.37538177,0.62461823
0.37572247,0.62427753
0.3750857,0.6249143
0.37573063,0.62426937
0.3739251,0.6260749
0.37522078,0.6247792
0.37567055,0.62432945
0.3755842,0.6244158
0.3750049,0.6249951
0.37509644,0.62490356
0.37567872,0.6243213
0.3752547,0.6247453
0.37393588,0.6260641
0.37502843,0.62497157
0.37504685,0.62495315
0.37544805,0.62455195
0.37605596,0.62394404
0.37501848,0.6249815
0.3750615,0.6249385
0.37606704,0.62393296
0.37498462,0.6250154
0.37504584,0.62495416
0.37499416,0.62500584
0.37492877,0.6250712
0.37499857,0.62500143
0.3751319,0.6248681
0.37601858,0.6239814
0.3750146,0.6249854
0.37581974,0.62418026
0.3750193,0.6249807
0.3759067,0.6240933
0.3749777,0.6250223
0.37527168,0.6247283
0.37489343,0.6251066
0.37558347,0.62441653
0.37556988,0.6244301
0.3748626,0.6251374
0.37525982,0.6247402
0.37527287,0.62472713
0.3750186,0.6249814
0.37503117,0.6249688
0.37487078,0.6251292
0.3750857,0.6249143
0.37486386,0.62513614
0.375044,0.624956
0.37499547,0.62500453
0.37522715,0.62477285
0.3751781,0.6248219
0.37606794,0.62393206
0.37572724,0.62427276
0.37499017,0.62500983
0.3761714,0.6238286
0.3752525,0.6247475
0.37506342,0.6249366
0.37501323,0.62498677
0.37588495,0.62411505
0.37543476,0.62456524
0.37587923,0.6241208
