Normal_prob,Malware_prob
0.3732615,0.6267385
0.37371767,0.62628233
0.3732565,0.6267435
0.37329882,0.6267012
0.37325138,0.6267486
0.37333977,0.6266602
0.37334383,0.6266562
0.37326097,0.626739
0.3733126,0.6266874
0.37337977,0.62662023
0.3733101,0.6266899
0.37330252,0.6266975
0.37334466,0.62665534
0.37327498,0.626725
0.37330234,0.62669766
0.3733905,0.6266095
0.37326175,0.62673825
0.3733024,0.6266976
0.37330276,0.62669724
0.3733229,0.6266771
0.37335634,0.62664366
0.37326533,0.6267347
0.3734144,0.6265856
0.37325996,0.62674004
0.3734141,0.6265859
0.37326086,0.62673914
0.37325728,0.6267427
0.37327373,0.62672627
0.3732615,0.6267385
0.37338758,0.6266124
0.37331986,0.62668014
0.37354773,0.62645227
0.37329948,0.6267005
0.3733253,0.6266747
0.37372535,0.62627465
0.37337947,0.62662053
0.37325954,0.62674046
0.37326133,0.62673867
0.3733034,0.6266966
0.3734215,0.6265785
0.3732745,0.6267255
0.373276,0.626724
0.37372088,0.6262791
0.37333995,0.62666005
0.3732614,0.6267386
0.3737324,0.6262676
0.3733937,0.6266063
0.37327284,0.62672716
0.37325925,0.62674075
0.37330323,0.62669677
0.37327534,0.62672466
0.37330264,0.62669736
0.37333983,0.62666017
0.37338042,0.6266196
0.3733759,0.6266241
0.37327462,0.6267254
0.37326562,0.6267344
0.37336695,0.62663305
0.37342548,0.6265745
0.37334412,0.6266559
0.37330145,0.62669855
0.37332475,0.62667525
0.37326074,0.62673926
0.3732698,0.6267302
0.3732614,0.6267386
0.37340802,0.626592
0.37326074,0.62673926
0.37333912,0.6266609
0.37326103,0.62673897
0.37327516,0.62672484
0.37325794,0.62674206
0.37330323,0.62669677
0.37329924,0.62670076
0.37327564,0.62672436
0.3733378,0.6266622
0.37342685,0.62657315
0.37326163,0.62673837
0.37355036,0.62644964
0.3734185,0.6265815
0.37371558,0.6262844
0.3735054,0.6264946
0.37337476,0.62662524
0.37373096,0.62626904
0.37325996,0.62674004
0.37330306,0.62669694
0.37340546,0.62659454
0.37327504,0.62672496
0.37326562,0.6267344
0.37337154,0.62662846
0.37333524,0.62666476
0.3732596,0.6267404
0.37327516,0.62672484
0.3733014,0.6266986
0.37325966,0.62674034
0.37338257,0.62661743
0.3732602,0.6267398
0.3732611,0.6267389
0.3733356,0.6266644
0.37327325,0.62672675
0.37326086,0.62673914
0.37327135,0.62672865
0.3734107,0.6265893
0.3732757,0.6267243
0.3732584,0.6267416
0.373253,0.626747
0.37329996,0.62670004
0.37326074,0.62673926
0.37325227,0.6267477
0.37325996,0.62674004
0.3737219,0.6262781
0.37325972,0.6267403
0.37334484,0.62665516
0.37340593,0.62659407
0.373505,0.626495
0.3732593,0.6267407
0.3733098,0.6266902
0.37344402,0.626556
0.37338018,0.6266198
0.37339282,0.6266072
0.3733111,0.6266889
0.37333894,0.62666106
0.3733437,0.6266563
0.37330347,0.6266965
0.3732593,0.6267407
0.3734057,0.6265943
0.37330365,0.62669635
0.37326282,0.6267372
0.37363094,0.62636906
0.3732568,0.6267432
0.3733307,0.6266693
0.37349814,0.62650186
0.3732611,0.6267389
0.37327403,0.626726
0.373304,0.626696
0.37325907,0.62674093
0.37325847,0.6267415
0.3732571,0.6267429
0.3733399,0.6266601
0.37334394,0.62665606
0.37325716,0.62674284
0.37326193,0.6267381
0.3732484,0.6267516
0.3733173,0.6266827
0.37326026,0.62673974
0.37349093,0.6265091
0.37338305,0.62661695
0.37325102,0.626749
0.37340146,0.62659854
0.37341595,0.62658405
0.37335438,0.6266456
0.3734554,0.6265446
0.37327468,0.6267253
0.37332278,0.6266772
0.3732524,0.6267476
0.37326157,0.6267384
0.3733781,0.6266219
0.3733021,0.6266979
0.37333733,0.6266627
0.37325943,0.6267406
0.37325853,0.62674147
0.37330252,0.6266975
0.37345457,0.6265454
0.3732584,0.6267416
0.37326074,0.62673926
0.3732835,0.6267165
0.3732826,0.6267174
0.37349916,0.62650084
0.37330258,0.6266974
0.37326127,0.6267387
0.37325984,0.62674016
0.37336606,0.62663394
0.37326062,0.6267394
0.3732611,0.6267389
0.37345296,0.62654704
0.37326092,0.6267391
0.37334353,0.6266565
0.37326103,0.62673897
0.37325847,0.6267415
0.37346393,0.6265361
0.37341404,0.62658596
0.37326193,0.6267381
0.37327713,0.6267229
0.37325776,0.62674224
0.37326092,0.6267391
0.37335014,0.62664986
0.3733499,0.6266501
0.37325966,0.62674034
0.37372285,0.62627715
0.3732621,0.6267379
0.37326157,0.6267384
0.3732615,0.6267385
0.37343687,0.62656313
0.37340748,0.6265925
0.37330008,0.6266999
0.37340313,0.62659687
0.37371862,0.6262814
0.37330943,0.62669057
0.37331164,0.62668836
0.37343836,0.62656164
0.3732745,0.6267255
0.373411,0.626589
0.37327337,0.6267266
0.37332338,0.6266766
0.3737151,0.6262849
0.37325495,0.62674505
0.37325907,0.62674093
0.37330014,0.62669986
0.3732615,0.6267385
0.37343806,0.62656194
0.3732735,0.6267265
0.37330276,0.62669724
0.3733784,0.6266216
0.37325996,0.62674004
0.37326086,0.62673914
0.37326026,0.62673974
0.37325776,0.62674224
0.37326026,0.62673974
0.37357485,0.62642515
0.37326103,0.62673897
0.37325627,0.62674373
0.3732534,0.6267466
0.37333357,0.6266664
0.37327695,0.62672305
0.37375194,0.62624806
0.37332487,0.6266751
0.37325788,0.6267421
0.3732999,0.6267001
0.37334818,0.6266518
0.37339562,0.6266044
0.37329882,0.6267012
0.37338328,0.6266167
0.37350595,0.62649405
0.37334174,0.62665826
0.37325943,0.6267406
0.3732602,0.6267398
0.3732614,0.6267386
0.37330323,0.62669677
0.37326074,0.62673926
0.3733179,0.6266821
0.3733014,0.6266986
0.37329906,0.62670094
0.37330395,0.62669605
0.37330353,0.62669647
0.373419,0.626581
0.3732612,0.6267388
0.37326145,0.62673855
0.37325925,0.62674075
0.37325633,0.6267437
0.37330234,0.62669766
0.37325788,0.6267421
0.3732739,0.6267261
0.37333333,0.62666667
0.37325627,0.62674373
0.37327373,0.62672627
0.37328923,0.6267108
0.3732615,0.6267385
0.37325126,0.62674874
0.37349254,0.62650746
0.37330407,0.62669593
0.3733614,0.6266386
0.37326097,0.626739
0.37332815,0.62667185
0.37363243,0.62636757
0.37332612,0.6266739
0.37333858,0.6266614
0.37325996,0.62674004
0.37333977,0.6266602
0.37330192,0.6266981
0.37325823,0.62674177
0.3735109,0.6264891
0.37325805,0.62674195
0.37341118,0.6265888
0.37325877,0.62674123
0.37327683,0.6267232
0.37326086,0.62673914
0.37336016,0.62663984
0.37342507,0.62657493
0.37327534,0.62672466
0.3733356,0.6266644
0.37372512,0.6262749
0.37325692,0.6267431
0.37331855,0.62668145
0.37325948,0.6267405
0.37328827,0.6267117
0.37326002,0.62674
0.3734284,0.6265716
0.3732614,0.6267386
0.37325948,0.6267405
0.3734073,0.6265927
0.37325335,0.62674665
0.3733098,0.6266902
0.3733335,0.6266665
0.37326062,0.6267394
0.3732761,0.6267239
0.3736294,0.6263706
0.3733393,0.6266607
0.3732581,0.6267419
0.37331605,0.62668395
0.3737182,0.6262818
0.3733645,0.6266355
0.37363,0.62637
0.3732571,0.6267429
0.3732714,0.6267286
0.37325865,0.62674135
0.3732748,0.6267252
0.3732726,0.6267274
0.37325644,0.62674356
0.37327355,0.62672645
0.3734563,0.6265437
0.37333918,0.6266608
0.3732803,0.6267197
0.373451,0.626549
0.37325662,0.6267434
0.37336415,0.62663585
0.37330168,0.6266983
0.37327415,0.62672585
0.37343574,0.62656426
0.3732581,0.6267419
0.3732612,0.6267388
0.37325352,0.6267465
0.3737396,0.6262604
0.37335074,0.62664926
0.37331516,0.62668484
0.37331998,0.62668
0.3732617,0.6267383
0.37334383,0.6266562
0.37327468,0.6267253
0.37339687,0.6266031
0.37326086,0.62673914
0.37341577,0.62658423
0.3735509,0.6264491
0.37325978,0.6267402
0.37330174,0.62669826
0.373434,0.626566
0.37338603,0.626614
0.37330323,0.62669677
0.37326074,0.62673926
0.37327653,0.62672347
0.37325895,0.62674105
0.3733024,0.6266976
0.37325138,0.6267486
0.3732608,0.6267392
0.37330276,0.62669724
0.37327582,0.6267242
0.37326193,0.6267381
0.37327373,0.62672627
0.37337518,0.6266248
0.3733247,0.6266753
0.3733126,0.6266874
0.3732605,0.6267395
0.37330323,0.62669677
0.3734327,0.6265673
0.37343907,0.6265609
0.37325966,0.62674034
0.37339967,0.6266003
0.37326086,0.62673914
0.3732744,0.6267256
0.37325978,0.6267402
0.37332648,0.6266735
0.3732614,0.6267386
0.37337017,0.6266298
0.3735881,0.6264119
0.37327433,0.6267257
0.37325954,0.62674046
0.37343013,0.62656987
0.37344426,0.62655574
0.3732499,0.6267501
0.37327367,0.6267263
0.37325764,0.62674236
0.37330252,0.6266975
0.37326074,0.62673926
0.37330383,0.62669617
0.37326074,0.62673926
0.37337494,0.62662506
0.3733263,0.6266737
0.37371206,0.62628794
0.37327325,0.62672675
0.37325662,0.6267434
0.37330335,0.62669665
0.37326062,0.6267394
0.37325698,0.626743
0.37340266,0.62659734
0.37330234,0.62669766
0.37330025,0.62669975
0.37332618,0.6266738
0.3737266,0.6262734
0.37362576,0.62637424
0.37341124,0.62658876
0.37336123,0.62663877
0.37343234,0.62656766
0.3732611,0.6267389
0.37357962,0.6264204
0.37337977,0.62662023
0.37333548,0.6266645
0.3732835,0.6267165
0.37329382,0.6267062
0.37326795,0.62673205
0.37327045,0.62672955
0.3733769,0.6266231
0.37325823,0.62674177
0.37325782,0.6267422
0.37333143,0.6266686
0.3732608,0.6267392
0.37330222,0.6266978
0.37335372,0.6266463
0.37330306,0.62669694
0.3732593,0.6267407
0.37330145,0.62669855
0.37345058,0.6265494
0.37336624,0.62663376
0.37330908,0.6266909
0.37330186,0.62669814
0.37344068,0.6265593
0.37330192,0.6266981
0.37340128,0.6265987
0.37340188,0.6265981
0.37343425,0.62656575
0.37326026,0.62673974
0.37333244,0.62666756
0.37327152,0.6267285
0.37343895,0.62656105
0.3733033,0.6266967
0.37325883,0.6267412
0.3734342,0.6265658
0.37340504,0.62659496
0.37341028,0.6265897
0.37328285,0.62671715
0.37326062,0.6267394
0.37327373,0.62672627
0.37325817,0.6267418
0.37326086,0.62673914
0.37330174,0.62669826
0.37334025,0.62665975
0.3733878,0.6266122
0.37333786,0.62666214
0.37372988,0.6262701
0.373303,0.626697
0.37333834,0.62666166
0.37336785,0.62663215
0.37370694,0.62629306
0.37330246,0.62669754
0.37333745,0.62666255
0.37325883,0.6267412
0.37330252,0.6266975
0.37325728,0.6267427
0.37325394,0.62674606
0.37325358,0.6267464
0.37333733,0.6266627
0.3732612,0.6267388
0.3732587,0.6267413
0.37326103,0.62673897
0.37337834,0.62662166
0.37332535,0.62667465
0.3733009,0.6266991
0.3732586,0.6267414
0.37330306,0.62669694
0.37327522,0.6267248
0.3733759,0.6266241
0.3732761,0.6267239
0.3732615,0.6267385
0.37325996,0.62674004
0.37325913,0.6267409
0.37326545,0.62673455
0.3732617,0.6267383
0.37327504,0.62672496
0.3733843,0.6266157
0.37335664,0.62664336
0.37343872,0.6265613
0.3732564,0.6267436
0.3732546,0.6267454
0.3732512,0.6267488
0.37339115,0.62660885
0.3732555,0.6267445
0.37330288,0.6266971
0.37330055,0.62669945
0.3732602,0.6267398
0.37335747,0.6266425
0.37357795,0.62642205
0.37341177,0.6265882
0.37332428,0.6266757
0.37326086,0.62673914
0.37342924,0.62657076
0.37325817,0.6267418
0.3734092,0.6265908
0.3732565,0.6267435
0.37330252,0.6266975
0.3732605,0.6267395
0.37329763,0.62670237
0.37328207,0.6267179
0.37325913,0.6267409
0.37327337,0.6267266
0.37334257,0.6266574
0.37327522,0.6267248
0.3733498,0.6266502
0.37326086,0.62673914
0.37330073,0.62669927
0.37340176,0.62659824
0.37327415,0.62672585
0.37334025,0.62665975
0.37331522,0.6266848
0.37342775,0.62657225
0.37372702,0.626273
0.37330598,0.626694
0.37326038,0.6267396
0.37339872,0.6266013
0.37324613,0.62675387
0.37330258,0.6266974
0.37325943,0.6267406
0.37358785,0.62641215
0.37326056,0.62673944
0.37327158,0.6267284
0.3734246,0.6265754
0.37326127,0.6267387
0.3734312,0.6265688
0.3732596,0.6267404
0.37332404,0.62667596
0.373303,0.626697
0.3734157,0.6265843
0.37326032,0.6267397
0.37326074,0.62673926
