,precision,recall,f1-score,support
1,0.9894736842105263,1.0,0.9947089947089947,94.0
2,1.0,0.8181818181818182,0.9,11.0
3,0.9090909090909091,1.0,0.9523809523809523,10.0
accuracy,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739
macro avg,0.9661881977671452,0.9393939393939394,0.9490299823633158,115.0
weighted avg,0.9834907426669441,0.9826086956521739,0.9819691741430872,115.0
