Normal_prob,Malware_prob
0.3239385,0.6760615
0.28182888,0.7181711
0.28183442,0.7181656
0.29733467,0.7026653
0.2817701,0.7182299
0.31530994,0.68469006
0.30287975,0.69712025
0.47520936,0.52479064
0.28184098,0.718159
0.2819196,0.7180804
0.4639032,0.5360968
0.47509235,0.52490765
0.37259138,0.6274086
0.33457607,0.6654239
0.38560218,0.6143978
0.2817716,0.7182284
0.2818032,0.7181968
0.33219844,0.66780156
0.3284877,0.6715123
0.32697523,0.6730248
0.29860234,0.70139766
0.47618777,0.52381223
0.45167094,0.54832906
0.4644069,0.5355931
0.47583073,0.52416927
0.33335483,0.66664517
0.29762673,0.70237327
0.4188884,0.5811116
0.28183734,0.71816266
0.44966042,0.5503396
0.29793578,0.7020642
0.47489142,0.5251086
0.29788023,0.70211977
0.47481364,0.52518636
0.47125262,0.5287474
0.29742324,0.70257676
0.2961706,0.7038294
0.4757768,0.5242232
0.32852322,0.6714768
0.47232187,0.52767813
0.3253687,0.6746313
0.4679122,0.5320878
0.46373302,0.536267
0.4750806,0.5249194
0.4708299,0.5291701
0.336213,0.663787
0.4743566,0.5256434
0.464976,0.535024
0.46661878,0.5333812
0.47424185,0.52575815
0.3590039,0.6409961
0.47591966,0.52408034
0.32081348,0.6791865
0.30193967,0.69806033
0.32741946,0.67258054
0.2823754,0.7176246
0.2957974,0.7042026
0.31632,0.68368
0.41765612,0.5823439
0.4559009,0.5440991
0.31779855,0.68220145
0.46351188,0.5364881
0.46384,0.53616
0.47328418,0.5267158
0.47181636,0.52818364
0.47385073,0.5261493
0.45733464,0.54266536
0.4761014,0.5238986
0.28181076,0.71818924
0.45289558,0.5471044
0.4759342,0.5240658
0.2824731,0.7175269
0.47505414,0.52494586
0.31287497,0.687125
0.4746058,0.5253942
0.30749637,0.69250363
0.34037697,0.659623
0.33413786,0.66586214
0.47516483,0.52483517
0.33966362,0.6603364
0.46883428,0.5311657
0.32338607,0.6766139
0.32532042,0.6746796
0.3334188,0.6665812
0.43800557,0.56199443
0.4011358,0.5988642
0.35972828,0.6402717
0.32859594,0.67140406
0.46921772,0.5307823
0.46668154,0.53331846
0.30327237,0.69672763
0.47370034,0.52629966
0.28177398,0.718226
0.2981971,0.7018029
0.465715,0.534285
0.4732269,0.5267731
0.4746725,0.5253275
0.4627546,0.5372454
0.28226686,0.71773314
0.4743781,0.5256219
0.28182775,0.71817225
0.47346902,0.526531
0.32846737,0.67153263
0.28181094,0.71818906
0.47419333,0.52580667
0.30708975,0.69291025
0.32479632,0.6752037
0.30550593,0.69449407
0.46741802,0.532582
0.29637265,0.70362735
0.47347522,0.5265248
0.47220558,0.5277944
0.47504407,0.5249559
0.31729776,0.68270224
0.32565778,0.6743422
0.4548043,0.5451957
0.47614628,0.5238537
0.28183025,0.71816975
0.29708767,0.70291233
0.3232311,0.6767689
0.46110898,0.538891
0.46100122,0.5389988
0.47522283,0.5247772
0.32744431,0.6725557
0.3244238,0.6755762
0.4684788,0.5315212
0.28236228,0.7176377
0.34009326,0.65990674
0.47413695,0.52586305
0.46903527,0.53096473
0.473539,0.526461
0.42041814,0.57958186
0.47235823,0.5276418
0.3148536,0.6851464
0.28233165,0.71766835
0.4260829,0.5739171
0.2817785,0.7182215
0.4698648,0.5301352
0.28234297,0.717657
0.31279492,0.6872051
0.28177536,0.71822464
