,precision,recall,f1-score,support
0.0,0.996078431372549,0.8355263157894737,0.9087656529516995,608.0
1.0,0.8583569405099151,0.9967105263157895,0.9223744292237442,608.0
accuracy,0.9161184210526315,0.9161184210526315,0.9161184210526315,0.9161184210526315
macro avg,0.927217685941232,0.9161184210526316,0.9155700410877219,1216.0
weighted avg,0.927217685941232,0.9161184210526315,0.915570041087722,1216.0
