Normal_prob,Malware_prob
0.37770522,0.6222948
0.37775177,0.62224823
0.37770468,0.6222953
0.37760973,0.6223903
0.3776092,0.6223908
0.3776058,0.6223942
0.37774235,0.62225765
0.37770534,0.62229466
0.37767148,0.6223285
0.37762618,0.6223738
0.37769747,0.62230253
0.37744927,0.6225507
0.3775981,0.6224019
0.37760562,0.6223944
0.37769675,0.62230325
0.37774467,0.6222553
0.37760913,0.62239087
0.37777126,0.62222874
0.37761396,0.62238604
0.37772262,0.6222774
0.37760794,0.62239206
0.37760586,0.62239414
0.3776964,0.6223036
0.37760055,0.62239945
0.3776737,0.6223263
0.37760633,0.62239367
0.37772363,0.62227637
0.37774318,0.6222568
0.37773967,0.62226033
0.3776077,0.6223923
0.37769574,0.62230426
0.37772477,0.62227523
0.37760442,0.6223956
0.37761635,0.62238365
0.37769508,0.6223049
0.37759888,0.6224011
0.3776127,0.6223873
0.37760824,0.62239176
0.3776046,0.6223954
0.3776176,0.6223824
0.37769502,0.622305
0.37767613,0.6223239
0.37744886,0.62255114
0.3777349,0.6222651
0.37774777,0.6222522
0.3777634,0.6222366
0.37761182,0.6223882
0.37761325,0.62238675
0.37760973,0.6223903
0.3777249,0.6222751
0.37760872,0.6223913
0.37769789,0.6223021
0.3776154,0.6223846
0.37761366,0.62238634
0.37769502,0.622305
0.37774724,0.62225276
0.3777154,0.6222846
0.37776685,0.62223315
0.3777625,0.6222375
0.37759876,0.62240124
0.37760448,0.6223955
0.3776077,0.6223923
0.37769687,0.6223031
0.3776036,0.6223964
0.3776061,0.6223939
0.3777511,0.6222489
0.3774498,0.6225502
0.3774491,0.6225509
0.37771988,0.6222801
0.37771094,0.62228906
0.37761456,0.62238544
0.37769693,0.62230307
0.37772143,0.6222786
0.37769645,0.62230355
0.3777051,0.6222949
0.3776577,0.6223423
0.37761652,0.6223835
0.37760794,0.62239206
0.37771118,0.6222888
0.3776958,0.6223042
0.3776036,0.6223964
0.37760973,0.6223903
0.37767458,0.6223254
0.37760717,0.62239283
0.3776033,0.6223967
0.37759972,0.6224003
