,precision,recall,f1-score,support
0.0,0.5143824027072758,1.0,0.6793296089385474,608.0
1.0,1.0,0.05592105263157895,0.1059190031152648,608.0
accuracy,0.5279605263157895,0.5279605263157895,0.5279605263157895,0.5279605263157895
macro avg,0.7571912013536379,0.5279605263157895,0.3926243060269061,1216.0
weighted avg,0.7571912013536378,0.5279605263157895,0.3926243060269061,1216.0
