Web,Interactive,Video
0.9876837,0.0015959282,0.0030490002
0.9989681,0.0015959282,0.0007206577
0.9989681,0.0015959282,0.0008872172
0.058824874,0.010612142,0.07022635
0.9989681,0.0015959282,0.00062850275
0.90498304,0.006396032,0.4270679
0.9985139,0.0015959282,0.0014761538
0.9985139,0.0015959282,0.001327253
0.99809676,0.0015959282,0.0005625112
0.9994134,0.0015959282,0.00027013075
0.93468434,0.006396032,0.2918874
0.0016197901,0.97342026,0.008824119
0.005058822,0.009817778,0.289534
0.99373204,0.0015959282,0.0028150252
0.9989681,0.0015959282,0.0006989637
0.9985139,0.0015959282,0.0015732396
0.9989681,0.0015959282,0.0007206577
0.9989681,0.0015959282,0.00062850275
0.9991486,0.0015959282,0.0007206577
0.99954623,0.0015959282,0.00030975498
0.9991486,0.0015959282,0.0007206577
0.99878484,0.0015959282,0.0013072218
0.00097310654,0.8048246,0.006998461
0.99819905,0.0015959282,0.001327253
0.9988996,0.0015959282,0.0005625112
0.025861807,0.053101625,0.9594844
0.9989681,0.0015959282,0.0008872172
0.9986663,0.0015959282,0.0005625112
0.9945779,0.0015959282,0.0022873832
0.9989681,0.0015959282,0.00087681843
0.99935216,0.0031582743,0.00044589394
0.9989681,0.0015959282,0.0008872172
0.99809676,0.0015959282,0.00086085225
0.9988996,0.0015959282,0.00069906825
0.9988996,0.0015959282,0.0005625112
0.03136591,0.050069325,0.72379786
0.9991486,0.0015959282,0.00062850275
0.9991486,0.0015959282,0.00062850275
0.0010470643,0.97342026,0.002629546
0.0014259422,0.97342026,0.0040197778
0.009706046,0.007579084,0.9836663
0.99829537,0.0015959282,0.0005625112
0.99935216,0.0024560648,0.00044589394
0.99935216,0.0015959282,0.00047410463
0.9954509,0.0015959282,0.0018332064
0.9991486,0.0015959282,0.0005625112
0.99804485,0.0024560648,0.0016735083
0.99829537,0.0015959282,0.0005625112
0.99878484,0.0015959282,0.0012265332
0.999099,0.0048262896,0.00076360663
0.99954623,0.0015959282,0.00030975498
0.9992028,0.0031582743,0.00044589394
0.19438079,0.009817778,0.7538099
0.99935216,0.0031582743,0.00044589394
0.9986663,0.0015959282,0.0005625112
0.99935216,0.0031582743,0.00044589394
0.99878484,0.0015959282,0.0014761538
0.99935216,0.0031582743,0.00044589394
0.038989577,0.007579084,0.73786193
0.9989681,0.0015959282,0.0008872172
0.058824874,0.010612142,0.8129396
0.99809676,0.0015959282,0.00086085225
0.9991486,0.0015959282,0.0007206577
0.99878484,0.0015959282,0.0012265332
0.9989681,0.0015959282,0.0005625112
0.9991486,0.0015959282,0.0005625112
0.15061893,0.011626334,0.74488014
0.9989681,0.0015959282,0.0007206577
0.9985139,0.0015959282,0.0014761538
0.99878484,0.0015959282,0.0014761538
0.99935216,0.0031582743,0.00044589394
0.9989681,0.0015959282,0.0007206577
0.99949825,0.0015959282,0.00061517983
0.0010470643,0.8414286,0.01849577
0.9989681,0.0015959282,0.0005625112
0.9989681,0.0015959282,0.0007206577
0.008702507,0.96862197,0.16767101
0.015268225,0.7280517,0.34954625
0.0014259422,0.97342026,0.035274487
0.12545565,0.013671475,0.56908417
0.9991486,0.0015959282,0.0008015618
0.99878484,0.0015959282,0.0014761538
0.99935216,0.0024560648,0.00044589394
0.99935216,0.0031582743,0.00044589394
0.9882929,0.0048262896,0.002246282
0.9992077,0.0024560648,0.0005367264
0.99935216,0.0031582743,0.00044589394
0.99935216,0.0031582743,0.00044589394
0.99878484,0.0015959282,0.0012265332
0.9991486,0.0015959282,0.0008015618
0.9989681,0.0015959282,0.0008872172
0.9986663,0.0015959282,0.0005625112
0.99640614,0.0015959282,0.0022060238
0.018063018,0.007579084,0.99145573
0.9994134,0.0015959282,0.00027013075
0.9989681,0.0015959282,0.0005625112
0.0025279785,0.96862197,0.14963457
0.9989681,0.0015959282,0.0007737793
0.9988996,0.0015959282,0.0005625112
0.9992028,0.0024560648,0.00044589394
0.9991486,0.0015959282,0.0007206577
0.9909973,0.0037546076,0.0016848351
0.9989681,0.0015959282,0.0011023496
0.9991486,0.0015959282,0.0014138084
0.99935216,0.0031582743,0.00044589394
0.9992077,0.0024560648,0.0005367264
0.9992028,0.0031582743,0.00047525187
0.99560213,0.0015959282,0.0028150252
0.99819905,0.0015959282,0.001327253
0.9991486,0.0015959282,0.00062850275
0.9989681,0.0015959282,0.0017621128
0.9991486,0.0015959282,0.0008870401
0.99935216,0.0024560648,0.00044589394
0.0033441938,0.97342026,0.007211396
0.9990588,0.0015959282,0.0006924067
