,precision,recall,f1-score,support
1,0.9893617021276596,0.9893617021276596,0.9893617021276596,94.0
2,1.0,0.9090909090909091,0.9523809523809523,11.0
3,0.9090909090909091,1.0,0.9523809523809523,10.0
accuracy,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739
macro avg,0.9661508704061896,0.9661508704061896,0.9647078689631879,115.0
weighted avg,0.983399209486166,0.9826086956521739,0.9826086956521739,115.0
