,precision,recall,f1-score,support
0.0,0.9982425307557118,0.9342105263157895,0.9651656754460494,608.0
1.0,0.9381761978361669,0.9983552631578947,0.9673306772908365,608.0
accuracy,0.9662828947368421,0.9662828947368421,0.9662828947368421,0.9662828947368421
macro avg,0.9682093642959393,0.966282894736842,0.966248176368443,1216.0
weighted avg,0.9682093642959394,0.9662828947368421,0.966248176368443,1216.0
